time_s,pwave_sw_us,pwave_aic_us,Vp_sw_km,Vp_aic_km
1224.04,27.225,27.125,7.761966364812416,7.822685788787481
1227.12,27.2,27.075,7.777057679844457,7.853403141361254
1230.27,27.175,27.05,7.7922077922077895,7.868852459016391
1233.42,27.15,27.025,7.8074170461938825,7.88436268068331
1236.55,27.15,27.125,7.8074170461938825,7.822685788787481
1239.62,27.2,27.0,7.777057679844457,7.899934167215271
1242.68,27.1,27.1,7.838014369693007,7.838014369693007
1245.82,27.1,27.075,7.838014369693007,7.853403141361254
1249.03,27.175,26.925,7.7922077922077895,7.947019867549666
1252.14,27.2,26.925,7.777057679844457,7.947019867549666
1255.2,27.125,27.0,7.822685788787481,7.899934167215271
1258.34,27.1,26.975,7.838014369693007,7.915567282321896
1261.5,27.175,26.95,7.7922077922077895,7.9312623925974854
1264.66,27.15,26.95,7.8074170461938825,7.9312623925974854
1267.8,27.2,26.925,7.777057679844457,7.947019867549666
1270.91,27.15,26.975,7.8074170461938825,7.915567282321896
1274.0,27.05,26.875,7.868852459016391,7.978723404255318
1277.03,27.125,27.075,7.822685788787481,7.853403141361254
1280.07,27.1,26.9,7.838014369693007,7.9628400796284
1283.13,27.1,26.95,7.838014369693007,7.9312623925974854
1286.21,27.125,27.0,7.822685788787481,7.899934167215271
1289.27,27.15,26.9,7.8074170461938825,7.9628400796284
1292.3,27.1,26.9,7.838014369693007,7.9628400796284
1295.32,27.125,26.975,7.822685788787481,7.915567282321896
1298.35,27.1,26.95,7.838014369693007,7.9312623925974854
1301.4,27.1,26.925,7.838014369693007,7.947019867549666
1304.55,27.075,26.925,7.853403141361254,7.947019867549666
1307.72,27.175,26.875,7.7922077922077895,7.978723404255318
1310.83,27.1,26.925,7.838014369693007,7.947019867549666
1313.89,27.125,27.075,7.822685788787481,7.853403141361254
1316.95,27.025,26.925,7.88436268068331,7.947019867549666
1320.01,27.075,26.875,7.853403141361254,7.978723404255318
1323.03,27.1,26.9,7.838014369693007,7.9628400796284
1326.07,27.15,26.875,7.8074170461938825,7.978723404255318
1329.1,27.075,26.9,7.853403141361254,7.9628400796284
1332.17,27.125,26.825,7.822685788787481,8.010680907877166
1335.24,27.1,26.9,7.838014369693007,7.9628400796284
1338.25,27.075,26.975,7.853403141361254,7.915567282321896
1341.35,26.975,26.925,7.915567282321896,7.947019867549666
1344.47,27.075,26.95,7.853403141361254,7.9312623925974854
1347.62,27.05,26.875,7.868852459016391,7.978723404255318
1350.83,27.1,26.975,7.838014369693007,7.915567282321896
1353.97,27.05,26.925,7.868852459016391,7.947019867549666
1357.06,27.125,26.95,7.822685788787481,7.9312623925974854
1360.13,27.1,27.0,7.838014369693007,7.899934167215271
1363.18,27.05,26.8,7.868852459016391,8.026755852842806
1366.31,27.05,26.85,7.868852459016391,7.994670219853429
1369.48,27.1,26.85,7.838014369693007,7.994670219853429
1372.55,27.025,26.875,7.88436268068331,7.978723404255318
1375.6,27.075,26.925,7.853403141361254,7.947019867549666
1378.72,27.0,26.9,7.899934167215271,7.9628400796284
1381.84,27.025,26.925,7.88436268068331,7.947019867549666
1384.88,27.1,26.925,7.838014369693007,7.947019867549666
1387.98,27.075,26.875,7.853403141361254,7.978723404255318
1391.16,27.125,26.95,7.822685788787481,7.9312623925974854
1394.34,27.1,26.95,7.838014369693007,7.9312623925974854
1397.49,27.1,26.825,7.838014369693007,8.010680907877166
1400.65,27.075,26.975,7.853403141361254,7.915567282321896
1403.79,27.075,26.875,7.853403141361254,7.978723404255318
1406.85,27.1,26.9,7.838014369693007,7.9628400796284
1409.9,27.125,26.9,7.822685788787481,7.9628400796284
