C:\Users\USER\Desktop\all tests\Wang-04-15\04-15-hits-zhenlingshu.TXT
C:\Users\USER\Desktop\all tests\Wang-04-15\04-15-hits-zhenlingshu.TXT
Express-8 (r) Location Version 
Version V5.94

4/15/2026, 17:03:41

128            0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP  ABS-ENERGY
  1           35.9820935   6     1     8     1        44  52 209.608E+00
  1           36.0788780   1    32    17     4       125  57   1.006E+03
  1           36.0788825   3     5    17     5       171  61   1.469E+03
  1           36.0789000   2     1     2     0         9  55 132.591E+00
  1           36.0789125   6    14    14     3       118  54 494.093E+00
  1           36.1750120   1     9    11     2        54  55 574.315E+00
  1           36.1750165   3    10    16     4       169  59 908.475E+00
  1           36.1750370   2     1     2     1        64  53 136.930E+00
  1           36.1750475   6     1    10     1        55  52 252.095E+00
  1           36.2708270   1     1    18     4       172  57   1.079E+03
  1           36.2708315   3    13    18     5       175  60   1.488E+03
  1           36.2708490   2     1     2     0         7  55 111.396E+00
  1           36.2708615   6     1    14     2        84  54 442.654E+00
  1           36.3665520   1     1    14     2        43  55 547.225E+00
  1           36.3665535   3     9    15     4       172  59 953.756E+00
  1           36.3665770   2     1     1     0         1  52   0.000E+00
  1           36.3665955   6     1     8     1        44  52 215.294E+00
  1           36.4622660   1    32    18     4       132  57   1.028E+03
  1           36.4622705   3     9    19     5       175  61   1.498E+03
  1           36.4622880   2     1     4     0         7  55 116.918E+00
  1           36.4623005   6    40    13     1        56  54 381.860E+00
  1           36.5581210   1    32    12     2        62  55 605.325E+00
  1           36.5581275   3     3    16     4       169  59 931.438E+00
  1           36.5581480   2     1     1     0         4  51  31.587E+00
  1           36.5581585   6     1     9     1        58  52 263.293E+00
  1           36.6539690   1     9    16     4       135  57   1.021E+03
  1           36.6539735   3     3    18     5       169  60   1.418E+03
  1           36.6539880   2     1     4     0        10  55 136.226E+00
  1           36.6540045   6     1    13     2       115  54 487.153E+00
  1           39.0108615   3     1     1     0         6  45  10.017E+00
  1           39.0627115   3     8    14     7       266  60   1.604E+03
  1           39.0627180   2     1     7     1        41  57 513.655E+00
  1           39.0627230   1     1    10     3       100  62 939.210E+00
  1           39.0627325   6    13     9     2       122  55 507.199E+00
  1           39.0627410   5     2     3     0         2  48   5.628E+00
  1           39.1261780   1    32    12     2        62  55 605.966E+00
  1           39.1261845   3     3    16     4       169  59 931.808E+00
  1           39.1262030   2     1     2     0         1  53   0.000E+00
  1           39.1262155   6     1    10     1        55  52 251.956E+00
  1           39.2230220   1     9    18     4       169  57   1.047E+03
  1           39.2230265   3    10    18     5       172  60   1.410E+03
  1           39.2230440   2     1     2     0         7  54  90.603E+00
  1           39.2230575   6     1    14     2        80  53 424.696E+00
  1           39.3187700   1     9    12     3       132  55 659.938E+00
  1           39.3187745   3    10    15     4       169  58 925.646E+00
  1           39.3188135   6     1     8     1        47  51 227.456E+00
  1           39.4145060   1    32    19     4       132  57   1.039E+03
  1           39.4145105   3     9    17     5       175  61   1.472E+03
  1           39.4145280   2     1     2     0         7  55  89.880E+00
  1           39.4145405   6    40    14     2       102  54 468.910E+00
  1           39.5103880   1    32    14     2        48  55 580.230E+00
  1           39.5103925   3     9    15     4       168  59 961.154E+00
  1           39.5104100   2     1     2     0         7  54  83.792E+00
  1           39.5104345   6    28     9     1        43  52 210.155E+00
  1           39.6062060   1     9    17     4       169  57   1.056E+03
  1           39.6062075   3    13    18     5       175  60   1.483E+03
  1           39.6062250   2     1     3     0         7  54  94.626E+00
  1           39.6062415   6     1    13     2        77  54 420.599E+00
  1           39.7023070   1     9    14     3       132  55 671.113E+00
  1           39.7023085   3    13    15     4       172  59 958.578E+00
  1           39.7023260   2     1     2     0         7  52  68.852E+00
  1           39.7023505   6     1     9     1        44  52 211.495E+00
  1           39.7983070   1     9    18     4       166  57   1.040E+03
  1           39.7983115   3    10    17     5       172  60   1.400E+03
  1           39.7983240   2     2     3     0         9  55 157.062E+00
